Ісаєнко Юлія Анатоліївна,1303
Іващенко Ю. А.,1303
Хацько Н. О.,1301
Кочанова П.В.,1300
Т.В. Смішлива,1299
Синельников Євген Володимирович,1297
Байбара Г. А.,1297
Фролова І. В.,1296
Логвіна Т. В.,1296
Дєєв Микола Владиславович,1295
Присяжнюк О.О.,1294
Безрук Т. В.,1292
Врона А. О.,1292
Єщенко О.В.,1290
Скочок Т.О.,1289
Шуляк Любов Анатоліївна,1289
Ільков Василь Васильович,1285
Камша Ніна Миколаївна,1285
Загинайко Тетяна Володимирівна,1285
Погрібніченко І.М.,1284
Дикунська С.Я.,1284
Грищенко Є.І.,1283
Шляхова О.М.,1283
Гонтар А. Л.,1281
Панов М.М.,1280
Власенко М. Д.,1278
Ступак Ольга В`ячеславівна,1276
Польська М. В.,1275
Подлісна Ірина Миколаївна,1274
Бондаренко В. М.,1274
С.В. Борзаниця,1274
Шляхтицький О.І.,1273
Луняченко В. О.,1271
Бойко Р.В.,1271
Т.І. Чернявська,1271
Соловей Г. В.,1270
Фомін В. А.,1269
Вовк С. В.,1269
Крат Василь Іванович,1265
Стас Л.В.,1264
Кузьменко Л.В.,1264
Цісельський О.В.,1263
Букіна О. М.,1263
Підченко Ю.О.,1263
Здоровиця О. В.,1260
Черенкова Н. П.,1258
Васильків О. В.,1257
Бородіна Н. М.,1257
Багрова А. Г.,1255
Макаров В. О.,1254
Лизенко І. В.,1253
Тарасенко І.М.,1253
Аверкова В.В.,1251
І.Г. Шевченко,1251
А.В. Руденко,1250
Шевченко Т. М.,1249
Красвітна Т. П.,1249
Кабакова В.Г.,1248
Єлізаренко І. А.,1246
Градовський Ю.М.,1246
Кузьменко В.А.,1245
Березовський О. Д.,1244
Савченко А.А.,1242
Карабань В. М.,1242
Разіна Т.І.,1242
С.О. Кульчицький,1242
Городецький Д. І.,1241
Анцупова Т.О.,1239
Мандриченко О.В.,1238
Горяйнов Андрій Миколайович,1238
Радченко Г. А.,1238
Токарева Марія Сергіївна,1236
Г.В. Костенко,1235
Потоцька Н. В.,1235
А.Г. Секірська,1234
Іванов С.М.,1233
Овсяннікова А. І.,1233
Кухар М.Д.,1231
В.П. Тимошенко,1230
О.А. Черниш,1230
Свитка С. Л.,1229
Коноваленко М. І.,1228
Шереметьєва Л. А.,1228
Добрянська Я.І.,1227
Стрелець Т.Г.,1225
Н.Ю. Алєксєєва,1225
Філь О. Є.,1223
Сташків Р.Б.,1223
Головіна К.І.,1222
Редько О. В.,1222
Бичков І. Г.,1219
Буравльов С.І.,1219
Горшкова О.О.,1218
Голубова Л.Б.,1218
Шевчук О.П.,1217
Винниченко П. П.,1216
Семененко Марина Олександрівна,1216
Назаренко Г. В.,1216
Єршова Л. С.,1215
Бурлака І. В.,1215
Бахаєв І. М.,1215
Блажівська Н.Є.,1215
Черних О. М.,1214
Шевченко Н.М.,1213
Желєзний І.В.,1213
Багбая Є. Д.,1211
К.О. Пляшкова,1210
Панченко О.М.,1210
Бишевська Н.А.,1208
Антоненко М. В.,1203
Котельницька Вікторія Леонідівна,1203
Голуб В.А.,1203
Крилюк М. І.,1202
Рудаков І. П.,1202
Гребенюк В. В.,1202
Горбачова Ю. В.,1200
Кузьмишина Олена Миколаївна,1199
Марцішевська О. М.,1199
Бойко А.В.,1198
Малих О.В.,1197
Смокович М.І.,1197
Бондаренко О. В.,1197
Ступакова І.Г.,1195
Котков О.В.,1195
Гнатик Г. Є.,1194
Семенюк Микола Миколайович,1193
Іоннікова І.А.,1193
Маслюк Н. В.,1191
Литвин О. В.,1191
Яковлєв О.В.,1190
Боровицький О. А.,1190
Маміна О. В.,1189
Смирнова Ю.М.,1189
Хаустова Т. А.,1188
Суський О. І.,1188
Потабенко Л. В.,1188
Боєва О.С.,1187
Гринь Н. Г.,1185
Добрівська Н.А.,1184
Котенко О. А.,1183
Позарецька С. М.,1183
Петричкович А.І.,1183
Димерлій О.О.,1182
Ільяшевич О. В.,1182
Бондаренко Г.П.,1180
А.Б. Головко,1180
Писанець Н. В.,1178
Рога Н. В.,1177
Матійчук Г. О.,1177
